시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 00:00,20.35,3522,179,2940,49,212,454,83502,69.19,18.78
8/28/2017 00:01,18.66,3428,168,3368,56.13,178,345,39474,70.59,18.34
8/28/2017 00:02,22.43,2680,128,3924,65.4,202,437,50987,73,21.42
8/28/2017 00:03,21.94,2399,115,3882,64.69,199,375,60224,78.8,21.19
8/28/2017 00:04,21,2361,112,3604,60.06,208,377,46839,77.19,19.88
8/28/2017 00:05,25.64,2533,122,4516,75.26,196,421,55427,86,24.66
8/28/2017 00:06,27.96,2417,112,4575,76.25,176,393,68569,87.19,27.3
8/28/2017 00:07,30.29,2257,104,5031,83.84,196,399,62993,105,29.27
8/28/2017 00:08,30.19,2586,121,4893,81.55,210,485,63965,100,29.63
8/28/2017 00:09,28.87,2572,119,4692,78.19,230,438,70017,93.8,28.04
8/28/2017 00:10,22.75,3355,163,3851,64.18,198,433,48629,98.59,21.51
8/28/2017 00:11,23.36,3037,143,4083,68.05,194,363,50621,83.4,22.96
8/28/2017 00:12,24.91,2664,124,4002,66.69,181,464,68016,88.59,24.48
8/28/2017 00:13,21.13,2403,111,3725,62.08,213,358,49018,83,20.65
8/28/2017 00:14,22.37,2690,131,3941,65.68,198,369,50651,81.59,20.86
8/28/2017 00:15,23.89,3722,185,4015,66.91,181,341,63253,90.8,22.47
8/28/2017 00:16,21.31,2925,141,3732,62.2,172,286,46640,72.4,21.04
8/28/2017 00:17,20.3,1930,90.69,3476,57.93,183,362,47127,68.59,19.8
8/28/2017 00:18,21.42,1916,91.53,3539,58.98,186,337,60483,68.59,20.46
8/28/2017 00:19,24.04,2002,95.69,3931,65.51,177,425,54124,80.19,23.1
8/28/2017 00:20,21.97,2213,107,3622,60.36,177,404,48407,99.4,21.18
8/28/2017 00:21,21.95,1986,94.78,3696,61.59,146,437,64353,73.19,21.29
8/28/2017 00:22,20.46,1897,91,3213,53.54,171,454,48323,71.8,19.63
8/28/2017 00:23,19.1,1790,84,3086,51.43,169,340,42523,63.2,18.38
8/28/2017 00:24,20.94,2061,98.46,3400,56.66,193,421,61615,70.19,20.23
8/28/2017 00:25,18.66,1969,94.8,3130,52.16,173,351,41424,64.4,17.8
8/28/2017 00:26,19.09,1783,85.06,3291,54.84,146,347,42777,71.19,18.17
8/28/2017 00:27,19.67,2096,102,3182,53.03,149,313,54887,67.8,18.57
8/28/2017 00:28,19.3,1747,84.73,3192,53.2,152,310,42107,64.19,18.91
8/28/2017 00:29,18.11,1719,83.16,2990,49.83,163,351,42326,63.79,17.32
8/28/2017 00:30,20.97,2959,153,3229,53.81,165,379,59820,81.8,18.64
8/28/2017 00:31,22.19,3036,151,3725,62.08,141,344,49196,77.59,21.68
8/28/2017 00:32,19.23,2389,114,3182,53.03,158,352,43637,64.19,18.41
8/28/2017 00:33,19.95,1835,84.83,3320,55.33,144,296,56897,65.8,19.32
8/28/2017 00:34,18.23,1284,59.83,3141,52.34,153,298,42283,65,17.25
8/28/2017 00:35,20.81,1488,71.16,3480,58,138,306,45728,72.8,19.73
8/28/2017 00:36,18.34,1468,70.83,3208,53.46,143,282,52115,65,17.39
8/28/2017 00:37,18.11,1492,71.83,3173,52.88,144,331,41533,63,17.37
8/28/2017 00:38,18.38,1500,73.5,3205,53.41,147,291,40901,73,17.22
8/28/2017 00:39,21.16,2012,99.5,3527,58.78,172,392,60480,69.19,20.21
8/28/2017 00:40,19.09,2570,129,3196,53.26,129,312,40183,87.4,17.89
