시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/27/2017 00:00,16.69,3064,156,2723,45.38,196,380,74483,70.19,14.9
8/27/2017 00:01,26.61,3191,156,4510,75.16,196,407,51965,97.19,26.29
8/27/2017 00:02,25.49,2529,117,4270,71.16,203,430,50394,89.4,24.67
8/27/2017 00:03,28.31,2367,111,4788,79.8,204,404,70249,96.4,26.97
8/27/2017 00:04,36.13,2853,136,5656,94.26,178,459,63545,114,35.42
8/27/2017 00:05,28.32,2493,116,4645,77.41,187,426,56118,98.4,27.2
8/27/2017 00:06,40.34,2655,125,6437,107,192,389,79995,130,39.97
8/27/2017 00:07,33.75,2315,107,5172,86.19,202,404,61653,126,32.93
8/27/2017 00:08,25.98,2253,102,4237,70.61,204,432,56119,89.4,25.52
8/27/2017 00:09,27.44,2307,107,4386,73.09,196,493,72826,85.4,26.01
8/27/2017 00:10,26.06,2711,131,4226,70.43,174,428,52812,107,25.17
8/27/2017 00:11,27.65,2154,100,4420,73.66,179,423,55002,99.19,26.96
8/27/2017 00:12,24,2198,103,3878,64.63,204,460,64972,83.4,23.19
8/27/2017 00:13,22.47,2176,102,3785,63.08,162,421,48597,75,21.65
8/27/2017 00:14,26.98,2676,131,4654,77.56,174,444,56520,86.59,26.13
8/27/2017 00:15,25.5,2390,113,4093,68.2,180,417,64114,80.4,24.89
8/27/2017 00:16,23.26,2045,94.19,3839,63.98,184,391,48244,88.19,22.4
8/27/2017 00:17,24.67,2478,118,4066,67.76,175,415,53789,81.8,23.7
8/27/2017 00:18,25.31,2492,117,4126,68.76,184,411,64649,81,24.9
8/27/2017 00:19,23.96,2109,97.03,3956,65.93,184,394,51503,77.8,23.25
8/27/2017 00:20,23.86,2682,129,3728,62.13,178,396,49954,95.4,22.8
8/27/2017 00:21,25.18,2500,117,3906,65.09,167,407,67307,76.19,24.86
8/27/2017 00:22,28.66,1871,85.18,4436,73.93,209,441,60027,93.59,27.63
8/27/2017 00:23,30.51,1978,92.63,4844,80.73,185,419,60268,101,30.17
8/27/2017 00:24,25.78,1786,82.5,4313,71.88,164,361,67007,82.59,25.01
8/27/2017 00:25,26.29,2255,106,4430,73.83,201,372,55728,85,25.1
8/27/2017 00:26,28.71,1818,84.88,4596,76.59,192,418,58294,97,27.78
8/27/2017 00:27,29.65,2086,100,4889,81.48,210,396,73047,104,28.13
8/27/2017 00:28,25.38,2203,104,4324,72.06,173,341,51980,94,24.66
8/27/2017 00:29,26.65,1976,93.36,4609,76.81,190,351,55889,88.59,26.09
8/27/2017 00:30,26.95,2306,112,4405,73.41,175,394,66437,113,25.38
8/27/2017 00:31,26.54,2019,95.5,4443,74.05,168,408,55065,85,26.04
8/27/2017 00:32,24.94,1510,69.13,4246,70.76,169,388,52446,84.19,24.13
8/27/2017 00:33,25.14,1694,81.05,4234,70.56,186,406,65835,81.8,24.02
8/27/2017 00:34,24.02,1763,84.83,4083,68.05,166,410,53034,83.4,23.06
8/27/2017 00:35,26.02,1873,89.16,4553,75.88,155,373,57710,88,24.74
8/27/2017 00:36,27.72,1783,85.5,4665,77.75,142,356,71515,94.59,26.88
8/27/2017 00:37,26.26,1675,80.83,4544,75.73,198,355,53226,94.19,25.31
8/27/2017 00:38,22.75,1812,87.16,4114,68.56,153,338,49753,80.59,21.81
8/27/2017 00:39,26.77,1909,90.16,4324,72.06,175,366,66461,86.19,26.04
8/27/2017 00:40,24.32,2048,98,4013,66.88,140,313,47016,101,23.18
8/27/2017 00:41,27.11,2005,93.5,4379,72.98,172,330,51693,87.4,26.18
8/27/2017 00:42,27.7,1950,92.33,4538,75.63,175,325,66559,104,26.65
8/27/2017 00:43,36.43,2177,104,5320,88.66,144,351,58677,109,35.53
8/27/2017 00:44,30.31,1778,82.5,4675,77.91,142,281,52781,99.8,29.72
8/27/2017 00:45,25.83,1504,70.66,4050,67.5,151,325,64531,77.59,24.69
8/27/2017 00:46,26.39,1577,74.84,4263,71.05,168,355,53537,85.4,25.4
8/27/2017 00:47,25.28,1670,80.19,4245,70.75,158,315,52245,92.59,24.03
8/27/2017 00:48,24.87,1761,83.15,4143,69.05,152,291,62506,82.4,24.12
8/27/2017 00:49,27.23,1863,90.37,4354,72.56,176,330,54531,90,25.77
8/27/2017 00:50,24.68,2385,117,3781,63.01,158,320,51842,90.59,23.49
8/27/2017 00:51,37.52,1928,92.76,5659,94.31,173,346,77568,121,36.79
8/27/2017 00:52,24.96,1520,70.75,4080,68,155,297,51456,109,24.21
8/27/2017 00:53,26.86,1545,73.3,4604,76.73,152,281,52622,94.8,25.82
8/27/2017 00:54,22.94,1806,84.5,3504,58.4,156,370,59075,78.4,22.05
8/27/2017 00:55,21.79,1767,79.53,3483,58.04,158,319,44561,73.8,21.04
8/27/2017 00:56,25.86,1887,88.55,4407,73.44,130,310,52028,92.19,24.82
8/27/2017 00:57,27.21,1616,73.65,4651,77.51,171,346,65517,105,26.58
8/27/2017 00:58,26.29,1860,85.83,4274,71.23,146,317,50766,88.8,25.22
8/27/2017 00:59,27.38,2483,118,4538,75.63,164,308,54524,92.8,26.25
8/27/2017 01:00,28.04,2843,138,4298,71.63,140,300,64819,101,26.49
8/27/2017 01:01,27.72,2545,118,4474,74.56,132,274,61037,98.59,27.34
8/27/2017 01:02,26.76,1979,91.53,4539,75.65,134,284,50978,91.59,25.79
8/27/2017 01:03,22.83,1862,86.4,3649,60.81,128,291,57023,69.4,22.09
8/27/2017 01:04,25.09,1615,75.56,4255,70.91,131,292,48619,81.19,24.28
8/27/2017 01:05,27.47,1666,79.19,4668,77.8,137,307,53705,90.19,25.92
8/27/2017 01:06,28.84,1859,88.69,4687,78.11,156,378,68655,95.4,27.98
8/27/2017 01:07,24.69,1989,95.36,3957,65.94,146,386,50411,86.59,23.66
8/27/2017 01:08,29.15,2086,98.8,4671,77.84,174,280,50104,98.4,28.45
8/27/2017 01:09,24.87,1885,89.05,4172,69.53,176,342,63630,81.4,23.88
8/27/2017 01:10,21.36,2274,112,3529,58.81,160,263,43680,83,20.03
8/27/2017 01:11,22.72,2015,96.59,3764,62.73,141,270,45124,75.59,22.33
8/27/2017 01:12,23.04,1462,68.45,3953,65.88,149,262,59347,80,22.11
8/27/2017 01:13,21.75,1659,78.34,3775,62.91,129,244,43165,73.4,20.75
8/27/2017 01:14,19.59,1400,66.58,3255,54.25,165,232,39961,67,18.88
8/27/2017 01:15,18.67,1484,71.41,3117,51.95,127,247,51800,60.79,17.7
